Date,Vaccine
2021-10-13,579804.0
2021-10-14,515842.0
2021-10-15,820336.0
2021-10-16,1057781.0
2021-10-17,746491.0
2021-10-18,556480.0
2021-10-19,594053.0
2021-10-20,580693.0
2021-10-21,538304.0
2021-10-22,694408.0
2021-10-23,930061.0
2021-10-24,671552.0
2021-10-25,464767.0
2021-10-26,473789.0
2021-10-27,451227.0
2021-10-28,436228.0
2021-10-29,557152.0
2021-10-30,750737.0
2021-10-31,526663.0
2021-11-01,333664.0
2021-11-02,313008.0
2021-11-03,99094.0
2021-11-04,327686.0
2021-11-05,411646.0
2021-11-06,554574.0
2021-11-07,350890.0
2021-11-08,230371.0
2021-11-09,227231.0
2021-11-10,207164.0
2021-11-11,183347.0
2021-11-12,271972.0
2021-11-13,358001.0
2021-11-14,206799.0
2021-11-15,145635.0
2021-11-16,145787.0
2021-11-17,139973.0
2021-11-18,129691.0
2021-11-19,199152.0
2021-11-20,279227.0
2021-11-21,158492.0
2021-11-22,92685.0
2021-11-23,25722.0
2021-11-24,71033.0
2021-11-25,86067.0
2021-11-26,148694.0
2021-11-27,207376.0
2021-11-28,113240.0
2021-11-29,75469.0
2021-11-30,79811.0
2021-12-01,48626.0
2021-12-02,44709.0
2021-12-03,81875.0
2021-12-04,120989.0
2021-12-05,49354.0
2021-12-06,39455.0
2021-12-07,35567.0
2021-12-08,30388.0
2021-12-09,26522.0
2021-12-10,51519.0
2021-12-11,72393.0
2021-12-12,29132.0
2021-12-13,26306.0
2021-12-14,14973.0
2021-12-15,31534.0
2021-12-16,30130.0
2021-12-17,63728.0
2021-12-18,93498.0
2021-12-19,36365.0
2021-12-20,25309.0
2021-12-21,30919.0
2021-12-22,31222.0
2021-12-23,26762.0
2021-12-24,50587.0
2021-12-25,78960.0
2021-12-26,32703.0
2021-12-27,24903.0
2021-12-28,19743.0
2021-12-29,7423.0
2021-12-30,2033.0
2021-12-31,392.0
2022-01-01,40.0
2022-01-02,309.0
2022-01-03,355.0
2022-01-04,9551.0
2022-01-05,16158.0
2022-01-06,17094.0
2022-01-07,40971.0
2022-01-08,66453.0
2022-01-09,24499.0
2022-01-10,3589.0
2022-01-11,23821.0
2022-01-12,22576.0
2022-01-13,19018.0
2022-01-14,37160.0
2022-01-15,58122.0
2022-01-16,23676.0
2022-01-17,20772.0
2022-01-18,18517.0
2022-01-19,15575.0
2022-01-20,13605.0
2022-01-21,17814.0
2022-01-22,33884.0
2022-01-23,13069.0
2022-01-24,12975.0
2022-01-25,14715.0
2022-01-26,15809.0
2022-01-27,15772.0
2022-01-28,34345.0
2022-01-29,52403.0
2022-01-30,20240.0
2022-01-31,11879.0
2022-02-01,18196.0
2022-02-02,13478.0
2022-02-03,15533.0
2022-02-04,30745.0
2022-02-05,45253.0
2022-02-06,18140.0
2022-02-07,18884.0
2022-02-08,17790.0
2022-02-09,16331.0
2022-02-10,16116.0
2022-02-11,6350.0
2022-02-12,36990.0
2022-02-13,15299.0
2022-02-14,13158.0
2022-02-15,13588.0
2022-02-16,11771.0
2022-02-17,8813.0
