Date,POSITIVE,NEGATIVE,NEUTRAL,MIXED
2021-08-29,18,128,869,11
2021-08-30,24,134,1047,20
2021-08-31,19,124,967,15
2021-09-01,24,136,1017,9
2021-09-02,33,107,977,8
2021-09-03,26,97,875,13
2021-09-04,18,129,841,13
2021-09-05,20,88,739,11
2021-09-06,25,136,895,22
2021-09-07,25,150,848,9
2021-09-08,16,98,800,11
2021-09-09,16,82,937,6
2021-09-10,25,98,847,16
2021-09-11,25,94,811,17
2021-09-12,23,80,639,9
2021-09-13,24,96,999,11
2021-09-14,14,92,951,9
2021-09-15,25,85,829,12
2021-09-16,20,52,738,9
2021-09-17,11,56,760,12
2021-09-18,17,132,772,13
2021-09-19,10,113,647,18
2021-09-20,12,64,611,5
2021-09-21,15,69,785,12
2021-09-22,17,58,869,4
2021-09-23,11,74,808,12
2021-09-24,13,69,709,11
2021-09-25,9,58,505,7
2021-09-26,13,39,455,5
2021-09-27,20,53,762,10
2021-09-28,16,73,717,9
2021-09-29,10,132,1030,13
2021-09-30,15,164,993,17
